"survey_name","question_number","variable_name","question_text","answer_type","answer_options","create_time","update_time"
student_phone_usage_survey,Q1,gender,What is your gender?,single_choice,Male / Female / Other,"2026-07-17 15:19:41","2026-07-17 16:12:50"
student_phone_usage_survey,Q2,grade,What is your current grade?,single_choice,Freshman / Sophomore / Junior / Senior,"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q3,school_type,What type of school are you attending?,single_choice,Public / Private,"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q4,college_faculty,Which college/faculty are you currently enrolled in?,single_choice,Medical College / Engineering College / Business School / Design School / Arts & Law School,"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q5,daily_avg_screen_time,"On average, how many hours per day do you use your phone screen?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q6,daily_avg_social_time,"On average, how many hours per day do you use social media apps?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q7,daily_avg_video_time,"On average, how many hours per day do you watch video/entertainment content?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q8,daily_avg_game_time,"On average, how many hours per day do you play mobile games?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q9,daily_avg_bedtime_phone_time,"On average, how many minutes per day do you use your phone before bed?",number_input,Enter a number (unit: minutes),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q10,daily_avg_unlock_count,"On average, how many times per day do you unlock your phone?",number_input,Enter a number (unit: times),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q11,daily_avg_sleep_duration,"On average, how many hours do you sleep per day?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q12,impact_on_academic,To what extent do you think phone use affects your academic performance?,scale_1_to_5,"1=No impact at all; 5=Very significant impact","2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q13,impact_on_sleep,To what extent do you think phone use affects your sleep quality?,scale_1_to_5,"1=No impact at all; 5=Very significant impact","2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q14,anxiety_without_phone,I feel anxious when I don't have my phone with me.,scale_1_to_5,"1=Strongly disagree; 5=Strongly agree","2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q1,gender,What is your gender?,single_choice,Male / Female / Other,"2026-07-17 15:19:41","2026-07-17 16:12:50"
student_phone_usage_survey,Q2,grade,What is your current grade?,single_choice,Freshman / Sophomore / Junior / Senior,"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q3,school_type,What type of school are you attending?,single_choice,Public / Private,"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q4,college_faculty,Which college/faculty are you currently enrolled in?,single_choice,Medical College / Engineering College / Business School / Design School / Arts & Law School,"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q5,daily_avg_screen_time,"On average, how many hours per day do you use your phone screen?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q6,daily_avg_social_time,"On average, how many hours per day do you use social media apps?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q7,daily_avg_video_time,"On average, how many hours per day do you watch video/entertainment content?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q8,daily_avg_game_time,"On average, how many hours per day do you play mobile games?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q9,daily_avg_bedtime_phone_time,"On average, how many minutes per day do you use your phone before bed?",number_input,Enter a number (unit: minutes),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q10,daily_avg_unlock_count,"On average, how many times per day do you unlock your phone?",number_input,Enter a number (unit: times),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q11,daily_avg_sleep_duration,"On average, how many hours do you sleep per day?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q12,impact_on_academic,To what extent do you think phone use affects your academic performance?,scale_1_to_5,"1=No impact at all; 5=Very significant impact","2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q13,impact_on_sleep,To what extent do you think phone use affects your sleep quality?,scale_1_to_5,"1=No impact at all; 5=Very significant impact","2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q14,anxiety_without_phone,I feel anxious when I don't have my phone with me.,scale_1_to_5,"1=Strongly disagree; 5=Strongly agree","2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q1,gender,What is your gender?,single_choice,Male / Female / Other,"2026-07-17 15:19:41","2026-07-17 16:12:50"
student_phone_usage_survey,Q2,grade,What is your current grade?,single_choice,Freshman / Sophomore / Junior / Senior,"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q3,school_type,What type of school are you attending?,single_choice,Public / Private,"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q4,college_faculty,Which college/faculty are you currently enrolled in?,single_choice,Medical College / Engineering College / Business School / Design School / Arts & Law School,"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q5,daily_avg_screen_time,"On average, how many hours per day do you use your phone screen?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q6,daily_avg_social_time,"On average, how many hours per day do you use social media apps?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q7,daily_avg_video_time,"On average, how many hours per day do you watch video/entertainment content?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q8,daily_avg_game_time,"On average, how many hours per day do you play mobile games?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q9,daily_avg_bedtime_phone_time,"On average, how many minutes per day do you use your phone before bed?",number_input,Enter a number (unit: minutes),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q10,daily_avg_unlock_count,"On average, how many times per day do you unlock your phone?",number_input,Enter a number (unit: times),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q11,daily_avg_sleep_duration,"On average, how many hours do you sleep per day?",number_input,Enter a number (unit: hours),"2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q12,impact_on_academic,To what extent do you think phone use affects your academic performance?,scale_1_to_5,"1=No impact at all; 5=Very significant impact","2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q13,impact_on_sleep,To what extent do you think phone use affects your sleep quality?,scale_1_to_5,"1=No impact at all; 5=Very significant impact","2026-07-17 15:19:41","2026-07-17 15:19:41"
student_phone_usage_survey,Q14,anxiety_without_phone,I feel anxious when I don't have my phone with me.,scale_1_to_5,"1=Strongly disagree; 5=Strongly agree","2026-07-17 15:19:41","2026-07-17 15:19:41"
